vacc_program,value,vacc_type,age_cov,vt,ct,doses
1,11105436977.734385,1,1,Current,0-4,411
2,8883881802.835537,2,1,Improved (minimal),0-4,329
3,6897508500.258738,3,1,Improved (efficacy),0-4,255
4,5951998068.00309,4,1,Improved (breadth),0-4,220
5,5033514420.51724,5,1,Universal,0-4,186
6,23973581569.830524,1,2,Current,0-10,888
7,17404478901.160305,2,2,Improved (minimal),0-10,645
8,11720932231.253038,3,2,Improved (efficacy),0-10,434
9,9144898939.959911,4,2,Improved (breadth),0-10,339
10,6727536296.232355,5,2,Universal,0-10,249
11,41779440795.11732,1,3,Current,0-17,1550
12,31122966267.167027,2,3,Improved (minimal),0-17,1150
13,21458088204.187576,3,3,Improved (efficacy),0-17,795
14,16842556581.479155,4,3,Improved (breadth),0-17,624
15,12347081283.432022,5,3,Universal,0-17,457
16,22303448793.491837,1,4,Current,65+,826
17,17600518957.407433,2,4,Improved (minimal),65+,652
18,12864721895.312143,3,4,Improved (efficacy),65+,476
19,10439256434.363207,4,4,Improved (breadth),65+,387
20,7979358319.593641,5,4,Universal,65+,296
21,65936190267.91624,1,5,Current,"0-17, 65+",2440
22,49707318495.87623,2,5,Improved (minimal),"0-17, 65+",1840
23,34759766863.6192,3,5,Improved (efficacy),"0-17, 65+",1290
24,27516069619.925377,4,5,Improved (breadth),"0-17, 65+",1020
25,20372063923.7063,5,5,Universal,"0-17, 65+",755
