"hemisphere","year","strain_match","match","0-5","5-20","20-65","65+"
"NH",2010,"INF_A",TRUE,0.7,0.7,0.7,0.46
"NH",2011,"INF_A",FALSE,0.42,0.42,0.42,0.28
"NH",2012,"INF_A",FALSE,0.42,0.42,0.42,0.28
"NH",2013,"INF_A",TRUE,0.7,0.7,0.7,0.46
"NH",2014,"INF_A",FALSE,0.42,0.42,0.42,0.28
"NH",2015,"INF_A",TRUE,0.7,0.7,0.7,0.46
"NH",2016,"INF_A",FALSE,0.42,0.42,0.42,0.28
"NH",2017,"INF_A",FALSE,0.42,0.42,0.42,0.28
"NH",2018,"INF_A",TRUE,0.7,0.7,0.7,0.46
"NH",2019,"INF_A",TRUE,0.7,0.7,0.7,0.46
"NH",2010,"INF_B",TRUE,0.7,0.7,0.7,0.46
"NH",2011,"INF_B",TRUE,0.7,0.7,0.7,0.46
"NH",2012,"INF_B",TRUE,0.7,0.7,0.7,0.46
"NH",2013,"INF_B",TRUE,0.7,0.7,0.7,0.46
"NH",2014,"INF_B",FALSE,0.42,0.42,0.42,0.28
"NH",2015,"INF_B",TRUE,0.7,0.7,0.7,0.46
"NH",2016,"INF_B",TRUE,0.7,0.7,0.7,0.46
"NH",2017,"INF_B",FALSE,0.42,0.42,0.42,0.28
"NH",2018,"INF_B",TRUE,0.7,0.7,0.7,0.46
"NH",2019,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2010,"INF_A",TRUE,0.7,0.7,0.7,0.46
"SH",2011,"INF_A",TRUE,0.7,0.7,0.7,0.46
"SH",2012,"INF_A",TRUE,0.7,0.7,0.7,0.46
"SH",2013,"INF_A",TRUE,0.7,0.7,0.7,0.46
"SH",2014,"INF_A",TRUE,0.7,0.7,0.7,0.46
"SH",2015,"INF_A",FALSE,0.42,0.42,0.42,0.28
"SH",2016,"INF_A",TRUE,0.7,0.7,0.7,0.46
"SH",2017,"INF_A",FALSE,0.42,0.42,0.42,0.28
"SH",2018,"INF_A",TRUE,0.7,0.7,0.7,0.46
"SH",2019,"INF_A",FALSE,0.42,0.42,0.42,0.28
"SH",2010,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2011,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2012,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2013,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2014,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2015,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2016,"INF_B",FALSE,0.42,0.42,0.42,0.28
"SH",2017,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2018,"INF_B",TRUE,0.7,0.7,0.7,0.46
"SH",2019,"INF_B",TRUE,0.7,0.7,0.7,0.46
